"Ref. fiche";"Statut";"Commune";"Localisation précise";"Catégories";"Modération";"Description";"Proposition";"[Public] Commentaire Vélo-Cité";"[Privé] Commentaire Vélo-Cité";"[Public] Réponse de la collectivité";"[Privé] Réponse de la collectivité";"Email";"Date de création";"Dernière modification"
F190908.;"";"Le Bouscat";"Aenue de la Libération Charles de Gaulle";"Autres";"1";"Le trottoir nouvellement ajouté entre l'avenue de la libération et le parking du monoprix est infranchissable pour un vélo car la marche est trop haute et c'est la chute assurée.
En arrivant de front c’est faisable mais la rue est faite de telle sorte qu’on ne peut arriver que de biais sans prendre d’écart Car les voitures circulent tout proche 

";"";"";"";"";"";"contact@velo-cite.org";"2019-09-06";"2019-09-06"
F190906;"";"Bordeaux";"Cours de la Somme";"Autres";"1";"Un panneau publicitaire réduit significativement la vue au carrefour entre le Cours de la Somme et la Rue de Brezets lorsque que l'on vient depuis le double sens cyclable de la rue de Brezets et que l'on s'engage dans le cours de la Somme. La vitesse des voitures qui tournent dans la rue de Brezets accentue le temps de réaction et la visibilité des automobilistes.";"";"";"";"";"";"contact@velo-cite.org";"2019-09-04";"2019-09-04"
F190904;"";"Bordeaux";"30 rue Camille Godard";"Stationnement sauvage";"1";"Su la bande cyclable au début de la rue Camille Godard, au niveau du croisement avec la voie de tram c : à toute heure il y a systématiquement des véhicules stationnés sur la bande (clients des 2 bistrots et du bureau de tabac). Les cyclistes sont obligés de se déporter sur la route (voitures et bus). De plus à cet endroit la chaussée est très déformée c'est dangereux. Est-il possible d'installer un système sepicycle ou autre empêchant les voitures de stationner ? ";"";"";"";"";"";"contact@velo-cite.org";"2019-09-03";"0000-00-00"
F190724.;"";"Bordeaux";"Rue Brizard";"Signalisation / Marquage au sol";"1";"> demande de synchronisation du feu 1 quand le feu 2 (appel vélo) est clignotant - cela permettrait un passage supplémentaire pour les vélos 
> demande de déclenchement du feu 2 quelques secondes avant que le feu 3 ne passe au vert - Cela éviterait aux vélos qui tournent à gauche (du feu 2 vers le centre ville) un démarrage suivi d'un arrêt au milieu du carrefour pour laisser la priorité (légitime) aux voitures qui viennent de la pl. du 11nov vers la rue Brizard. ";"";"";"";"Le feu de sortie du dsc de Brizzard n’est pas sur appel (ce n’est pas une phase vélo) et il est donné systématiquement au vert en même temps que Sourdis. Dans cette configuration, on ne peut donc pas donner celui de la sortie de la piste de Bonnac (sur appel) qui est coordonné avec celui de la bretelle de tàg de la place du XI novembre, également sur appel.
La réglementation interdit tout décalage en début de vert qui (justement) pourrait inciter a tourner a gauche – autrement dit a couper la route a ceux venant d’en face quand leur feu se mettra au vert.";"";"contact@velo-cite.org";"2019-07-10";"2019-07-10"
F190701.;"";"Bordeaux";"rue du loup, cerf volant, palais de l'ombrière";"Signalisation / Marquage au sol";"1";"L'axe comprenant les rues du loup, du cerf volant, du palais de l'ombrière est un axe privilégié par les cyclistes (dans les deux sens) pour éviter le cours Alsace Lorraine. 
Nous formulons la demande de marquage au sol du double sens cyclable. Cela permettra de légitimer pleinement la pratique de ce sens de circulation, tant aux yeux des automobilistes que pour conforter les cyclistes eux-mêmes. Serait-il possible d'effectuer ce marquage cet été? ";"";"";"";"Demande transmise au service signalisation le 12-07-2019";"";"contact@velo-cite.org";"2019-07-03";"2019-07-12"
F190702.;"";"Bordeaux";"Avenue de la république";"Chantiers";"1";"Suite aux travaux souterrains, l'enrobé n'a pas été refait correctement et ce morceau de la piste cyclable sur trottoir n'est plus à niveau.";"";"";"";"La réfection définitive du revêtement béton de la piste cyclable est programmé plus tard ";"";"contact@velo-cite.org";"2019-07-02";"2019-07-08"
F190656.;"";"Le Haillan";"Rue Hustin ";"Signalisation / Marquage au sol";"1";"Le feu modal vélo est long à se déclencher. Est-il possible d'ajouter un temps de passage afin de diminuer l'attente après l'appel du feu?";"";"";"";"La demande a bien été prise en compte.
Nous n’avons pas touché aux temps de vert mais rajouté une phase vélos dans le cycle du carrefour.
Autrement dit sur appel vélo celui-ci pourra passer après la principale ou après la secondaire suivant le moment de son appel.

Toutefois il me semble intéressant d’informer que nous aidons les bus en priorité sur cet axe, donc cela peut amener à des temps d’attente importants dans ce cas. 
";"";"contact@velo-cite.org";"2019-06-26";"2019-07-03"
F190607.;"";"Saint-Médard-en-Jalles";"Avenue du Haillan";"Pistes ou bandes cyclables";"1";"Aucune dépression charretière, au croisement avec chaque rue, n'a été créé sur la nouvelle piste cyclable (toujours en travaux) Av du Haillan à St médard en jalles.
";"";"";"Priorité 1";"Comme indiqué dans la cyclofiche, le chantier n’est effectivement pas terminé. Les traversées cyclables au niveau des voies adjacentes seront traitées avec des passage piétons/cycles surélevés.
La réalisation de ces passages surélevés se fera à la fin du chantier.
Pour le moment, la voie verte n’est pas ouverte à la circulation.
";"";"contact@velo-cite.org";"2019-06-17";"2019-06-18"
F190603;"";"Bordeaux";"Boulevard Godard";"Chantiers";"1";"Il y a eu des travaux sur le trottoir du boulevard Godard direction nord vers le n°70 (entre Mondauto et Monoprix). Depuis environ une semaine, les panneaux de signalisation prévenant les cyclistes de la fin de la bande cyclable en raison des travaux, sont restés sur la bande alors que les travaux semblent être en suspend. Cette situation est dangereuse car les panneaux surviennent après un virage et les cyclistes sont obligés de faire un écart sur l'étroite bande des boulevards très fréquentés.";"";"";"Priorité 1";"Le panneau a été déplacé sur le trottoir.";"";"contact@velo-cite.org";"2019-06-03";"2019-06-07"
F190601;"";"Bordeaux";"Place de Latule";"Signalisation / Marquage au sol";"1";"Je passe 2 à 3 fois par semaine par ce carrefour et le feu tricolore vélo ne passe jamais au vert. Même après avoir appuyé sur le bouton et en attendant longtemps qu'il passe au vert.";"";"";"Priorité 1";"Signalement transmis au service gestion de trafic le 3-06-2019";"";"contact@velo-cite.org";"2019-06-03";"2019-06-03"
